cluster,wlthindf,latitude,longitude
1,-0.83124,21.965697,90.126312
2,-0.73918,22.221232,90.348908
3,-0.78621,22.191484,90.212539
4,-0.44709,22.185481,90.167023
5,-0.687435,22.311173,90.149822
6,-0.720975,22.078257,89.960808
7,-0.31856,22.954464,90.17703
8,-0.27109000000000005,22.87864,90.289736
9,-0.42635,22.62156,90.465093
10,-0.670755,22.503755,90.388721
11,-0.67021,22.838522,90.079955
12,-0.542555,22.980915,90.201465
13,-0.37622500000000003,22.952512,90.450585
14,-0.00411,22.654193,90.373125
15,-0.70244,22.733407,90.572067
16,-0.797795,22.782563,90.476644
17,-0.444515,23.004792,90.440173
18,-0.51393,22.848653,90.166232
19,-0.35508,22.919862,90.084578
20,-0.90656,22.765777,90.608171
21,-0.78284,22.807404,90.635883
22,-0.739665,22.530139,90.708757
23,-0.81454,22.242496,90.682281
24,-0.96941,22.160582,90.800267
25,-0.85755,22.204696,90.678519
26,-0.77284,22.632841,90.697578
27,-0.76727,22.289165,90.801934
28,-0.97287,22.245859,90.804085
29,-0.66371,22.333506,90.800834
30,-0.30379999999999996,22.645013,90.131265
31,-0.75039,22.405903,90.105869
32,-0.5320100000000001,22.608337,90.370969
33,-0.25085,22.538455,90.191775
34,-0.78936,22.344413,90.445328
35,-0.6809149999999999,22.492549,90.472298
36,-0.6990000000000001,22.466397,90.5396
37,-0.567365,22.440583,90.448453
38,-0.85178,22.091072,90.499789
39,-0.70524,22.285703,90.477117
40,-0.77562,21.886154,90.139409
41,-0.69354,21.933181,90.206191
42,-0.81332,22.285431,90.371005
43,-0.366055,22.355524,90.36386
44,-0.49822,22.44344,90.086175
45,-0.76767,22.221621,89.91377
46,-0.66751,22.373121,89.993312
47,-0.59851,22.811281,90.031264
48,-0.78557,22.644118,89.984122
49,-0.53402,22.778483,90.018127
50,-0.62502,22.451479,89.96441
51,0.145555,22.302611,90.091872
52,0.91385,22.053795,89.968962
53,-0.26173,22.813022,90.191408
54,-0.23174,22.691392,90.389866
55,1.58598,22.691265,90.640443
56,-0.086185,22.675413,90.649969
57,-0.90552,22.203506,90.769957
58,-0.71235,22.423514,90.855505
59,1.355225,22.647414,90.187342
60,1.72684,22.416516,90.559619
61,-0.846445,22.156934,90.413762
62,-0.11402499999999999,22.354346,90.361388
63,-0.60897,22.485769,90.082947
64,-0.56115,22.606415,89.957522
65,0.34466,22.746376,90.103699
66,1.82544,22.709072,90.378332
67,-0.17839500000000003,22.721949,90.379553
68,1.06699,22.705225,90.37569
69,0.85017,22.691535,90.356402
70,1.8431250000000001,22.714502,90.366331
71,0.7894950000000001,22.673486,90.349393
72,0.98745,22.717375,90.331419
73,-0.44589,22.182203,92.17762
74,0.05212,23.9005,91.183934
75,-0.38854,23.971862,91.210736
76,-0.36468999999999996,23.909941,91.103312
77,0.105365,23.695264,91.122723
78,-0.78683,23.922283,91.097749
79,-0.97627,24.231333,91.14128
80,-0.3859,24.033775,91.078271
81,-0.4132,23.179846,90.737209
82,-0.57333,23.177532,90.820205
83,-0.027889999999999998,23.28997,90.809627
84,-0.33124,23.395942,90.848482
85,-0.017415,23.421414,90.639666
86,-0.20826,22.195798,91.894607
87,-0.58812,22.072059,91.878742
88,0.017759999999999998,22.348601,91.959819
89,-0.190335,22.678599,91.767571
90,-0.137845,22.538351,91.836292
91,1.203005,22.432147,91.84893
92,-0.380775,22.848709,91.501536
93,-0.10484,22.308622,91.848356
94,-0.15827999999999998,22.344994,91.890215
95,0.17213,22.479059,91.913243
96,-0.52068,22.460134,91.471237
97,-0.14561,22.07245,92.075768
98,-0.273675,23.341949,90.966795
99,-0.20049,23.663781,91.08275
100,-0.07295,23.507803,91.052861
101,-0.61487,23.451005,91.004537
102,-0.24406,23.253437,91.241721
103,-0.17745,23.406869,91.231943
104,0.01702,23.657267,91.039356
105,-0.47922,23.69461,90.841595
106,0.34272,23.487165,91.217459
107,-0.55396,23.180926,91.088629
108,-0.6885399999999999,23.612691,90.90789
109,-0.54021,23.155552,91.12637
110,-0.27225,23.579788,90.847662
111,-0.56323,21.841257,92.064185
112,-0.64938,21.545006,92.011641
113,-0.790365,21.643898,91.967913
114,-0.9053599999999999,21.078928,92.140053
115,-0.20997,23.089339,91.509335
116,-0.19702999999999998,23.016287,91.406472
117,-0.15822999999999998,23.14609,91.398905
118,0.005124999999999999,22.855415,91.406385
119,-0.712115,23.375718,91.931921
120,-0.11404,23.037592,90.848451
121,-0.24456,23.008892,90.884931
122,-0.864395,22.932201,90.736281
123,-0.99403,22.685554,90.84277
124,0.022865,22.926246,91.114298
125,0.36282,23.073328,91.02067
126,-0.952615,22.584458,91.142102
127,-0.39506,22.786731,91.202031
128,-0.42693000000000003,22.861805,91.211075
129,-0.7224349999999999,22.646261,91.191947
130,-0.70999,22.781022,91.15632
131,-0.881085,22.658197,92.037981
132,1.96941,23.970201,91.10179
133,0.38226,23.883467,90.95895
134,1.9472,23.216973,90.665393
135,0.035495,23.419972,90.625054
136,0.18360500000000002,22.002313,92.109806
137,-0.785735,22.499116,91.443247
138,0.35431,23.226131,91.30888
139,0.008050000000000002,23.687072,90.767151
140,0.53971,23.480086,91.149599
141,-0.38948,21.74813,92.080149
142,-0.377295,21.511653,91.964957
143,0.00081,23.000689,91.404457
144,-0.02463,23.091378,91.976041
145,-0.21787499999999999,22.929491,90.85391
146,0.27619499999999997,22.928646,91.134962
147,1.251605,23.025383,91.080786
148,1.15248,22.635149,92.188262
149,0.659625,22.387797,91.814114
150,1.541355,22.351414,91.826703
151,1.497,22.334058,91.842549
152,1.38294,22.379216,91.846664
153,1.7010200000000002,22.36171,91.849321
154,1.1823350000000001,22.283092,91.775703
155,0.57928,22.339005,91.808388
156,1.9543,22.329686,91.82487
157,1.23629,22.332378,91.782403
158,2.1657,22.349132,91.838284
159,1.93954,22.336602,91.834049
160,0.61385,22.362932,91.796374
161,0.50063,22.348849,91.809649
162,1.13041,22.341069,91.784097
163,0.322625,22.371527,91.8136
164,1.46544,22.253995,91.803506
165,0.54051,23.927149,90.174984
166,0.200245,23.739849,90.273257
167,0.87582,23.6671,90.411189
168,1.32581,23.885476,90.289715
169,0.470855,23.912731,90.256916
170,0.4147,23.907445,90.309855
171,-0.58476,23.338136,89.730767
172,-0.81836,23.596106,89.584005
173,-0.9440649999999999,23.393074,89.783604
174,0.72495,24.016096,90.2802
175,0.7985949999999999,24.138417,90.416373
176,-0.39119,24.026601,90.588537
177,0.134575,24.176305,90.50371
178,-0.604735,23.10076,89.821057
179,-0.34719999999999995,23.247003,89.907728
180,-0.88018,25.282159,89.78727
181,-0.53243,24.754579,89.896732
182,-0.841435,24.884573,89.740785
183,-0.450465,24.700396,89.867288
184,-0.50577,24.109943,91.007616
185,-0.614115,24.506715,90.840483
186,-0.6924699999999999,24.387354,90.866996
187,-0.69861,24.362242,90.967685
188,-0.5598099999999999,23.13831,90.305895
189,-0.83754,23.437457,90.133216
190,-0.34881,23.839892,89.935902
191,-0.57606,23.929601,90.054152
192,0.61597,23.552557,90.629939
193,0.09792,23.639619,90.400212
194,0.373955,23.542224,90.477999
195,-0.88985,25.076132,90.432964
196,-0.81263,24.560761,90.183346
197,-0.5571,24.735093,90.543461
198,-0.82546,24.62497,90.592487
199,-0.27687,24.764044,90.362795
200,-0.82811,24.560352,90.578894
201,-0.595175,24.8786,90.362799
202,-0.62469,24.622433,90.466806
203,0.17401,23.720302,90.591339
204,1.2322899999999999,23.638455,90.488824
205,0.814845,23.690025,90.49838
206,-0.44504,24.1354,90.827319
207,0.38451500000000005,23.934481,90.750293
208,-0.76359,23.875405,90.882301
209,0.2573,23.972384,90.700755
210,-0.86003,24.775704,91.100044
211,-0.859345,24.60061,90.815498
212,-0.90326,24.881101,90.818486
213,-0.6731,23.714073,89.738859
214,0.14295,23.756238,89.65517
215,-0.942205,23.075546,90.490028
216,-0.35627,23.39507,90.252006
217,-0.77507,25.168565,90.165667
218,-0.50675,25.00332,90.044329
219,-0.501305,24.514808,89.821686
220,-0.22059,24.411616,90.056668
221,-0.578165,24.5242,89.900947
222,-0.53784,24.660061,90.016002
223,-0.17816,24.064594,89.99445
224,-0.10522,24.377987,90.175479
225,1.11823,23.775411,90.420122
226,1.277265,23.781001,90.431139
227,1.42168,23.862663,90.406831
228,0.44742,23.613141,90.117988
229,1.44898,23.709285,90.461018
230,1.2643650000000002,23.752465,90.454828
231,1.03953,23.825673,90.246501
232,0.64662,23.876784,90.374347
233,1.1888450000000002,23.468699,90.025833
234,0.940355,23.992782,90.30636
235,0.846835,23.9228,90.398158
236,0.322875,24.126122,90.567652
237,-1.04603,25.178624,89.759821
238,-0.73609,24.806842,89.859469
239,0.0975,24.448373,90.792936
240,2.11458,23.85803,90.004828
241,-0.800465,24.617683,90.278703
242,1.11712,24.750614,90.417709
243,0.22655999999999998,23.8356,90.61485
244,1.30724,23.632245,90.479095
245,1.195485,23.687967,90.515427
246,0.65018,23.795897,90.531262
247,0.89554,23.946827,90.633842
248,-0.039855,23.648867,89.539533
249,0.83743,25.030245,90.012601
250,-0.48497,24.647376,90.001991
251,1.40974,23.81812,90.426784
252,2.0853099999999998,23.714054,90.412552
253,0.77238,23.778306,90.356165
254,2.03684,23.6951,90.436078
255,2.94009,23.762841,90.421687
256,1.3466049999999998,23.713687,90.419794
257,0.35615,23.823335,90.378168
258,1.71702,23.692752,90.436891
259,1.092745,23.75523,90.447078
260,2.36777,23.719319,90.389268
261,0.69438,23.716604,90.391039
262,2.25193,23.788071,90.351773
263,2.47805,23.75893,90.355836
264,1.680305,23.764587,90.37948
265,1.353365,23.836814,90.352385
266,1.94803,23.823018,90.377734
267,2.30593,23.745948,90.406365
268,0.956935,23.759999,90.431347
269,1.77898,23.730205,90.428459
270,2.0877049999999997,23.687254,90.407643
271,1.98581,23.719009,90.420307
272,2.59331,23.759203,90.398242
273,2.63416,23.86779,90.392102
274,-0.51085,22.748157,89.797835
275,-0.58846,22.812549,89.879051
276,-0.79068,22.652121,89.87773
277,-0.831405,22.429435,89.674948
278,-0.78037,22.396543,89.780002
279,-0.7436799999999999,22.3917,89.798522
280,0.779575,23.760537,88.950014
281,-0.46994,23.57531,88.908219
282,-0.706975,23.617535,88.691764
283,-0.518755,23.457902,88.804411
