,cluster,health building area total,health building area mean,health building area proportion,commercial building area total,commercial building area mean,commercial building area proportion,transport service building area total,transport service building area mean,transport service building area proportion,industrial building area total,industrial building area mean,industrial building area proportion,education building area total,education building area mean,education building area proportion,residential building area total,residential building area mean,residential building area proportion,other building area total,other building area mean,other building area proportion,sport building area total,sport building area mean,sport building area proportion,government building area total,government building area mean,government building area proportion,transport building area total,transport building area mean,transport building area proportion,religious building area total,religious building area mean,religious building area proportion,construction building area total,construction building area mean,construction building area proportion,low-cost building area total,low-cost building area mean,low-cost building area proportion,agriculture building area total,agriculture building area mean,agriculture building area proportion
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12,0.00028907343622926163,6.281064603117173e-09,3.6865163998015714e-12
2,3,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10,0.040142923973959514,8.722361422323521e-07,5.119375529497691e-10
3,4,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10,0.030123139857241025,6.545236046594315e-07,3.84156533183364e-10
4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12,0.00033883371176191565,7.362269121133253e-09,4.321102801799048e-12
8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10,0.024686742839603714,5.364001225388113e-07,3.148268603404478e-10
10,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10,0.010120700692848284,2.1990527981331687e-07,1.290679958987237e-10
12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09,0.09250184150073668,2.0099046455193432e-06,1.1796641024942175e-09
14,15,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12
15,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12,0.0006220978845499263,1.351710850118259e-08,7.933534411153269e-12
20,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12,8.544006915191366e-05,1.856464575362616e-09,1.0896062268374776e-12
30,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11,0.006933796081652909,1.5065936774336547e-07,8.84258107604902e-11
34,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,42,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13,6.577967755680406e-05,1.4292783511897113e-09,8.388797782667744e-13
42,43,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11,0.004637923801675541,1.0077404344948265e-07,5.914684648625697e-11
43,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
