,cluster,Landuse total,Landuse mean,Landuse proportion,park area total,park area mean,park area proportion,forest area total,forest area mean,forest area proportion,commercial area total,commercial area mean,commercial area proportion,military area total,military area mean,military area proportion,retail area total,retail area mean,retail area proportion,cemetery area total,cemetery area mean,cemetery area proportion,industrial area total,industrial area mean,industrial area proportion,residential area total,residential area mean,residential area proportion,recreation_ground area total,recreation_ground area mean,recreation_ground area proportion,nature_reserve area total,nature_reserve area mean,nature_reserve area proportion,farm area total,farm area mean,farm area proportion,grass area total,grass area mean,grass area proportion,meadow area total,meadow area mean,meadow area proportion,orchard area total,orchard area mean,orchard area proportion,quarry area total,quarry area mean,quarry area proportion,scrub area total,scrub area mean,scrub area proportion,allotments area total,allotments area mean,allotments area proportion,heath area total,heath area mean,heath area proportion,vineyard area total,vineyard area mean,vineyard area proportion
0,1,1.277759681094041,1.776912043129568e-05,1.6295105080573938e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9421531272103192,1.865095768010134e-05,1.2015157808656494e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.3356065538837217,2.452188761389169e-05,4.279947271917444e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.06829204342973398,9.497009196308387e-07,8.709196575226199e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06829204342973398,2.6760205105695128e-05,8.709196575226199e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,20.866257490992673,0.00029017588189228987,2.6610470144347425e-07,0.0,0.0,0.0,0.09564321830078637,3.0713942935384195e-05,1.2197256773051069e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.593802303566756,0.00013053157089115626,8.408991378187247e-08,0.0,0.0,0.0,0.0,0.0,0.0,11.996084356604467,0.0008765223116034245,1.5298452286342894e-07,0.0,0.0,0.0,2.1807276125206574,0.008291739971561433,2.7810539120867683e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,14.808509892572255,0.00020593402623555118,1.888510244583495e-07,0.0,0.0,0.0,0.09564321830078637,3.0713942935384195e-05,1.2197256773051069e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025317954884837544,9.920828716629132e-06,3.2287662647205913e-10,4.53585769296654,8.979229323896944e-05,5.784521051261723e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.769685332114829,0.0006407778264003239,1.1183867054564047e-07,0.0,0.0,0.0,1.3820056943052648,0.005254774503061843,1.7624541096314654e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,2.1004472408165937,2.9209796281641987e-05,2.6786733852802583e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1004472408165937,0.00015347415174752255,2.6786733852802583e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,0.2881560388911243,4.0072319026981926e-06,3.674816949391e-09,0.0,0.0,0.0,0.2881560388911243,9.253565796118314e-05,3.674816949391e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,0.6821474765059626,9.486260085746744e-06,8.699339143801728e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030178425829913064,1.1825401970969068e-05,3.8486158809118613e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6519690506760496,4.7637662624291216e-05,8.31447755571054e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,0.0032105220609363904,4.46470130433797e-08,4.09433754410419e-11,0.0006586687236575566,9.504599186977726e-07,8.399917624648749e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025518533372788344,5.0516744279497857e-08,3.2543457816393153e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
