,cluster,Distance to nearest intersection road,Distance to nearest living_street road,Distance to nearest pedestrian road,Distance to nearest primary road,Distance to nearest residential road,Distance to nearest secondary road,Distance to nearest service road,Distance to nearest tertiary road,Distance to nearest track road,Distance to nearest trunk road,Length of all road,Length of intersection road,Length of living_street road,Length of pedestrian road,Length of primary road,Length of residential road,Length of secondary road,Length of service road,Length of tertiary road,Length of track road,Length of trunk road,Number of intersection roads,Number of living street roads,Number of pedestrian roads,Number of primary roads,Number of residential roads,Number of secondary roads,Number of service roads,Number of tertiary roads,Number of track roads,Number of trunk roads,Total number of roads
0,1,60928.18492000001,9700.353722,6533.345722,346.8806479,0.0,6333.662907,7288.626275,0.0,0.0,51030.96147,74906.33711000001,0.0,0.0,0.0,0.0,889.9642174,0.0,0.0,10641.69961,6252.40374,0.0,0,0,0,0,1,0,0,1,11,0,46
1,2,38054.35891,0.0,36909.72355,0.0,0.0,346.6181034,41.58031419,0.0,0.0,19255.33551,293445.9346,0.0,1194.175248,0.0,5326.164337,113223.6394,0.0,0.0,19296.17932,1741.874709,0.0,0,3,0,0,212,0,0,13,7,0,413
2,3,42746.45373,0.0,22777.55716,0.0,0.0,0.0,0.0,137.2188332,0.0,25734.76509,164727.4471,0.0,272.7718623,0.0,5218.491856000001,79178.66028,6158.1498,153.3542476,0.0,1555.077419,0.0,0,1,0,0,140,2,3,0,12,0,269
3,4,40856.50597,0.0,18674.70623,0.0,0.0,2974.080532,0.0,0.0,0.0,28817.87451,285357.7671,0.0,2474.8668350000003,0.0,9373.134867,130028.3184,0.0,11.79824723,2693.7723579999997,784.6032241,0.0,0,11,0,0,235,0,0,3,10,0,486
4,5,28534.582589999998,4138.571558,14766.536740000001,0.0,0.0,7970.633521,3948.732288,3608.1207729999996,6169.565079999999,20634.767480000002,21559.80854,0.0,0.0,0.0,7963.099905,2169.925315,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4
5,6,47275.49228,0.0,3116.445239,8948.675322,0.0,0.0,11537.86792,0.0,2449.372309,52116.881839999995,249409.473,0.0,212.83384280000004,0.0,0.0,143586.5089,7246.249734999999,0.0,21566.07789,0.0,0.0,0,1,0,0,173,0,0,12,0,0,255
6,7,28263.06542,11279.14287,9913.581907,16188.519119999999,1703.6406719999998,0.0,11744.01082,0.0,1327.221087,198.38606769999998,37674.01624,0.0,0.0,0.0,0.0,0.0,10349.34829,0.0,14254.59522,0.0,0.0,0,0,0,0,0,0,0,1,0,0,6
7,8,15143.801519999999,8087.024638,1426.64852,13029.36596,0.0,5877.574061,1816.2380280000002,733.4260211,1282.336836,0.0,27664.93209,0.0,0.0,0.0,0.0,1213.467673,0.0,0.0,0.0,0.0,6609.236715,0,0,0,0,1,0,0,0,0,0,12
8,9,5702.309791,2672.544082,7610.2934780000005,7742.242956,0.0,2275.8845469999997,0.0,606.6219216,0.0,2368.595229,45916.41529,0.0,0.0,0.0,0.0,15927.3067,0.0,33.07686375,0.0,1537.920022,0.0,0,0,0,0,33,0,2,0,0,0,51
9,10,9639.318992,2184.383888,14797.11845,2387.754482,0.0,0.0,1440.559059,0.0,5455.205518,0.0,38013.4508,0.0,0.0,0.0,0.0,9480.800007,4956.942601,0.0,14252.562430000002,0.0,592.1841665000001,0,0,0,0,18,0,0,3,0,0,37
10,11,24182.90135,13642.229519999999,13220.05369,13185.67175,2081.020383,3393.4360450000004,0.0,0.0,11869.11933,13630.50015,24029.981340000002,0.0,0.0,0.0,0.0,0.0,0.0,49.66193964,7299.600343000001,0.0,0.0,0,0,0,0,0,0,1,2,0,0,26
11,12,29066.40145,7468.56758,11349.46109,13977.22235,0.0,0.0,15512.74195,0.0,2466.12235,0.0,42427.57067,0.0,0.0,0.0,0.0,4130.702662,7549.004354000001,0.0,9597.059792,0.0,9365.158768000001,0,0,0,0,6,0,0,5,0,5,22
12,13,22947.04217,10483.49147,14403.68063,17541.70279,0.0,16830.27149,13403.23949,0.0,14419.797630000001,16704.51068,17242.66513,0.0,0.0,0.0,0.0,3977.79595,0.0,0.0,3386.388462,0.0,0.0,0,0,0,0,5,0,0,0,0,0,11
13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252174.4478,318.24156239999996,1025.703391,352.8766225,5717.910626,109668.8001,8444.755916,15516.67376,8183.366844,4216.289952,17500.42572,6,11,2,6,412,6,107,10,7,25,793
14,15,15287.12649,5519.674504,17183.62994,0.0,1735.0019760000002,11969.88835,1855.3453370000002,0.0,5929.902735000001,5151.1726,23605.8621,0.0,0.0,0.0,7780.1436109999995,0.0,0.0,0.0,6159.9664729999995,0.0,0.0,0,0,0,2,0,0,0,16,0,0,55
15,16,8561.01628,1956.5042440000002,9701.732219,7221.37641,0.0,2654.163294,479.2052178,222.29026780000004,5565.5147560000005,4258.863567,9174.196697,0.0,0.0,0.0,0.0,4068.071879,0.0,0.0,0.0,0.0,0.0,0,0,0,0,7,0,0,0,0,0,13
16,17,27830.68241,13333.10174,17990.97626,12367.72417,768.9016852999999,18887.333309999998,17370.11674,809.0285041,17996.625369999998,17950.175580000003,4864.710513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2
17,18,21317.57703,13176.095790000001,3995.7217509999996,8451.129236,0.0,2115.1753989999997,1414.64987,0.0,3692.506956,4280.508752000001,20701.7615,0.0,0.0,0.0,0.0,286.46108839999994,0.0,0.0,10716.399379999999,0.0,0.0,0,0,0,0,1,0,0,0,0,0,8
18,19,32362.1216,7667.698279000001,14935.04008,19201.80435,7692.509604999999,173.6167235,1955.959525,0.0,9550.184826,10835.10861,17974.99042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5906.9819,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3
19,20,20002.57745,5336.233957,21801.04391,0.0,3279.956002,14155.28288,0.0,0.0,11054.22386,10245.03464,39351.97369,0.0,0.0,0.0,13611.577619999998,0.0,0.0,20.26081751,5441.002538000001,0.0,0.0,0,0,0,2,0,0,1,17,0,0,75
20,21,24423.03511,7076.642497,20174.25555,0.0,6911.481365000001,11066.512840000001,0.0,0.0,16067.46894,15214.04315,19793.48331,0.0,0.0,0.0,3396.288858,0.0,0.0,94.66948647,683.4718007,0.0,0.0,0,0,0,0,0,0,2,1,0,0,24
21,22,30358.904,10033.949509999999,35480.2825,0.0,0.0,0.0,0.0,0.0,22378.84176,24074.23681,69448.88089,0.0,0.0,0.0,10751.40627,5117.270072,1631.577084,47.21378781,3815.238775,0.0,0.0,0,0,0,6,16,3,1,2,0,0,153
22,23,3424.024708,9878.718718,52951.717430000004,0.0,4867.469142,5371.834992,4500.139211,3459.063846,17934.31309,38323.66387,2807.579721,0.0,0.0,0.0,2807.579721,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
23,24,0.0,23666.803819999997,67634.40639,0.0,0.0,0.0,0.0,7765.741267,19225.228280000003,53802.19862,25427.64377,6350.354325,0.0,0.0,2584.8649530000002,7729.9174060000005,7291.995706000001,262.5027222,0.0,0.0,0.0,4,0,0,0,11,2,2,0,0,0,23
24,25,1995.344526,9642.956127,55961.680570000004,2434.726966,4071.7788159999996,4151.157135,3304.6237079999996,7419.034706999999,19378.70405,40122.32872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
25,26,28925.6836,0.0,29783.859119999997,0.0,0.0,0.0,2385.689105,0.0,18615.93788,18415.83647,54440.990139999994,0.0,678.0158403,0.0,5695.216813,1094.409405,7561.609039,0.0,1155.2281460000002,0.0,0.0,0,0,0,0,2,0,0,1,0,0,32
26,27,4698.621967,23599.09731,58093.67845,2112.355057,4035.0184159999994,772.1674659,6510.532276,3960.4113780000002,15160.16815,48216.43291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
27,28,177.6397476,23204.043990000002,61368.00575,1047.248574,997.5248443,816.3592047999999,2609.565539,6848.706393,17358.61969,50066.85523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
28,29,9325.195049,24823.42342,55003.714660000005,1922.666049,2130.514812,0.0,10825.33515,2925.3332,13635.389330000002,45288.199089999995,10639.43486,0.0,0.0,0.0,0.0,0.0,7944.306047,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2
29,30,12826.229879999999,1799.0162870000001,18134.213669999997,0.0,0.0,1161.711238,0.0,0.0,5284.333868,17297.21589,42797.70063,0.0,0.0,0.0,3752.120099,10413.38386,0.0,29.79179187,10622.465259999999,0.0,0.0,0,0,0,2,18,0,1,11,0,0,67
30,31,17689.35217,11239.09187,14065.211630000002,272.0802127,0.0,4796.637625,867.6504977,0.0,8287.725528,21147.6363,43974.82946,0.0,0.0,0.0,0.0,7435.841888,0.0,0.0,2131.943273,0.0,0.0,0,0,0,0,6,0,0,0,0,0,10
31,32,0.0,2761.632289,3785.6737399999997,2503.694609,0.0,2458.65816,212.19687369999997,0.0,0.0,0.0,64817.62881,128.2886819,0.0,0.0,0.0,19399.285219999998,0.0,0.0,3536.162675,1801.2348769999999,10415.047840000001,2,0,0,0,29,0,0,1,3,6,69
32,33,14225.03506,5350.002201,20002.15769,1016.8380109999999,0.0,1675.015556,1423.172769,4222.80393,8188.493079999999,10372.2952,4262.170213,0.0,0.0,0.0,0.0,1793.4676780000002,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,2
33,34,27380.86642,0.0,32224.35238,8311.941447,0.0,0.0,1673.17515,0.0,0.0,11111.764990000001,155946.6298,0.0,241.580538,0.0,0.0,47508.05223,12478.026440000001,0.0,26569.75977,2521.327591,0.0,0,2,0,0,104,2,0,30,2,0,220
34,35,15587.994669999998,1881.111212,18596.7965,9895.997044,1360.1414,0.0,1249.6912710000001,0.0,7833.704835,9087.981033,23094.25972,0.0,0.0,0.0,0.0,0.0,11013.15374,0.0,816.2119116,0.0,0.0,0,0,0,0,0,9,0,0,0,0,15
35,36,22837.86318,8762.002895,24893.07072,12850.068459999999,0.0,0.0,4371.847890999999,0.0,5836.702996,16612.64801,39394.71071,0.0,0.0,0.0,0.0,1155.664336,4513.1014270000005,0.0,15743.69733,0.0,0.0,0,0,0,0,0,1,0,5,0,0,17
36,37,18410.47205,75.05866761,22612.97254,6798.312831,0.0,0.0,0.0,0.0,3898.644133,6803.560726999999,56381.73775,0.0,0.0,0.0,0.0,248.43017859999998,21087.831869999998,144.65840359999999,6101.629999,0.0,0.0,0,0,0,0,2,9,1,5,0,0,33
37,38,23367.904609999998,3680.2143159999996,47778.615639999996,14672.142890000001,3246.554104,99.63961247,11659.91075,0.0,11850.27467,36608.42302,11495.99647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4457.064396,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2
38,39,25547.30735,0.0,39000.06938,11622.9902,0.0,1932.1660960000002,2971.4544300000002,0.0,0.0,17980.34561,66913.39568,0.0,41.96578787,0.0,0.0,16926.29975,0.0,0.0,25825.623069999998,1895.793438,0.0,0,1,0,0,27,0,0,4,1,0,55
39,40,68206.79927,17358.030590000002,12010.85504,0.0,0.0,0.0,6904.2849400000005,0.0,0.0,58135.42125,186415.8324,0.0,0.0,0.0,8636.537336,58184.29772,1663.540567,0.0,7625.057056999999,1014.5562789999999,0.0,0,0,0,7,85,2,0,0,1,0,142
